,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
0,# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,100",500 to 600,Dec-19,2020-01-22 02:06:57.993542
1,# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"1,900",600 to 700,Dec-19,2020-01-22 02:06:58.042065
2,# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,020",500 to 600,Dec-19,2020-01-22 02:06:58.075068
3,# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,100",500 to 600,Dec-19,2020-01-22 02:06:58.106070
4,# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,000",500 to 600,Nov-19,2020-01-22 02:06:58.136807
5,# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,200",600 to 700,Oct-19,2020-01-22 02:06:58.166683
6,1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"2,600",1000 to 1100,Dec-19,2020-01-22 02:06:58.346793
7,1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"1,500",1300 to 1400,Nov-19,2020-01-22 02:06:58.358788
8,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,"3,600",1400 to 1500,Dec-19,2020-01-22 02:06:58.566745
9,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"3,000",1000 to 1100,Nov-19,2020-01-22 02:06:58.608749
10,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,"3,200",1200 to 1300,Nov-19,2020-01-22 02:06:58.626912
11,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"3,600",1400 to 1500,Nov-19,2020-01-22 02:06:58.641914
12,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"3,600",1100 to 1200,Oct-19,2020-01-22 02:06:58.675291
13,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,1,"2,100",800 to 900,Oct-19,2020-01-22 02:06:58.706303
14,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,"4,000",1400 to 1500,Oct-19,2020-01-22 02:06:58.722279
15,1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,"3,700",1400 to 1500,Oct-19,2020-01-22 02:06:58.738313
16,1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"5,500",1200 to 1300,Dec-19,2020-01-22 02:06:59.667720
17,1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"4,000",1200 to 1300,Nov-19,2020-01-22 02:06:59.696237
18,1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"5,000",1200 to 1300,Oct-19,2020-01-22 02:06:59.715239
19,1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"5,200",1200 to 1300,Oct-19,2020-01-22 02:06:59.734247
20,1 NASSIM,NASSIM ROAD,10,Non-landed Properties,2,"5,400",1900 to 2000,Nov-19,2020-01-22 02:06:59.909039
21,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,200",400 to 500,Dec-19,2020-01-22 02:07:00.099765
22,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,400",800 to 900,Dec-19,2020-01-22 02:07:00.126770
23,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,800",600 to 700,Dec-19,2020-01-22 02:07:00.151769
24,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,100",400 to 500,Nov-19,2020-01-22 02:07:00.178771
25,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",500 to 600,Nov-19,2020-01-22 02:07:00.197771
26,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,700",500 to 600,Nov-19,2020-01-22 02:07:00.218719
27,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,050",400 to 500,Oct-19,2020-01-22 02:07:00.239323
28,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,900",800 to 900,Oct-19,2020-01-22 02:07:00.259671
29,10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"1,950",400 to 500,Oct-19,2020-01-22 02:07:00.280948
30,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,700",400 to 500,Dec-19,2020-01-22 02:07:03.541428
31,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"2,000",400 to 500,Dec-19,2020-01-22 02:07:03.584440
32,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,200",700 to 800,Dec-19,2020-01-22 02:07:03.603662
33,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,100",700 to 800,Nov-19,2020-01-22 02:07:03.647235
34,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"2,000",400 to 500,Nov-19,2020-01-22 02:07:03.684791
35,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,050",600 to 700,Nov-19,2020-01-22 02:07:03.716795
36,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,"2,250",600 to 700,Oct-19,2020-01-22 02:07:03.733654
37,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:07:03.751656
38,16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"1,900",400 to 500,Oct-19,2020-01-22 02:07:03.767115
39,18 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,4,"5,600",2000 to 2100,Oct-19,2020-01-22 02:07:03.959421
40,18 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,4,"5,800",2000 to 2100,Oct-19,2020-01-22 02:07:03.984427
41,18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,100",400 to 500,Dec-19,2020-01-22 02:07:04.910322
42,18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,"3,200",900 to 1000,Dec-19,2020-01-22 02:07:04.952244
